Fecha,ALLSKY_SFC_SW_DWN,T2M,RH2M
2020-01-01,4.8713,18.87,85.65
2020-01-02,6.0058,19.03,84.94
2020-01-03,6.185,19.09,77.95
2020-01-04,6.3425,18.6,79.6
2020-01-05,6.2306,18.42,86.14
2020-01-06,6.0706,18.8,85.41
2020-01-07,6.3948,18.91,77.86
2020-01-08,6.2196,17.81,72.74
2020-01-09,6.5638,18.09,74.42
2020-01-10,6.7574,16.7,72.36
2020-01-11,5.6088,17.68,74.01
2020-01-12,5.2541,18.63,76.33
2020-01-13,6.379,19.32,75.33
2020-01-14,5.179,19.32,75.45
2020-01-15,5.4929,19.32,76.57
2020-01-16,4.2398,19.57,74.93
2020-01-17,4.0466,19.9,75.06
2020-01-18,4.9099,20.24,73.72
2020-01-19,4.7266,20.84,75.52
2020-01-20,3.8227,19.4,83.65
2020-01-21,3.3444,18.68,86.75
2020-01-22,3.3216,17.85,86.16
2020-01-23,5.0083,18.35,83.55
2020-01-24,4.0418,18.07,84.76
2020-01-25,4.813,18.65,85.63
2020-01-26,4.5958,19.47,81.07
2020-01-27,5.1557,18.67,88.55
2020-01-28,5.287,18.51,84.51
2020-01-29,5.8416,18.78,82.71
2020-01-30,5.297,19.49,75.61
2020-01-31,4.9373,19.23,73.25
2020-02-01,4.319,20.38,77.07
2020-02-02,5.0016,20.2,76.48
2020-02-03,5.9592,19.12,73.95
2020-02-04,6.439,17.96,67.71
2020-02-05,7.1525,17.87,62.57
2020-02-06,7.1014,17.66,66.47
2020-02-07,6.2976,18.63,65.5
2020-02-08,5.1761,18.63,80.12
2020-02-09,5.9143,18.86,82.33
2020-02-10,6.8926,18.65,71.53
2020-02-11,7.1244,17.91,69.91
2020-02-12,6.8443,18.94,72.96
2020-02-13,6.1356,20.16,74.58
2020-02-14,4.6222,20.0,78.78
2020-02-15,4.8281,19.48,73.27
2020-02-16,5.8423,19.11,71.58
2020-02-17,5.8764,19.26,72.19
2020-02-18,6.4418,20.57,72.22
2020-02-19,4.4652,21.17,76.35
2020-02-20,4.5084,20.8,74.91
2020-02-21,4.9543,19.55,82.79
2020-02-22,3.5429,19.49,86.02
2020-02-23,3.3998,19.78,84.35
2020-02-24,3.1714,18.99,89.67
2020-02-25,4.7695,19.27,87.87
2020-02-26,4.0334,18.14,89.78
2020-02-27,5.4598,18.59,85.6
2020-02-28,4.921,19.57,81.7
2020-02-29,4.685,20.0,78.11
2020-03-01,4.5922,20.3,79.6
2020-03-02,5.2428,20.09,80.36
2020-03-03,5.267,20.72,79.1
2020-03-04,6.1414,20.28,75.95
2020-03-05,6.5227,18.8,68.05
2020-03-06,5.9395,19.13,66.83
2020-03-07,4.2902,19.99,75.75
2020-03-08,3.8472,19.83,84.17
2020-03-09,3.4349,19.66,82.42
2020-03-10,4.8343,20.06,78.56
2020-03-11,5.2339,19.9,80.13
2020-03-12,3.8057,20.04,81.05
2020-03-13,4.4897,19.44,85.1
2020-03-14,3.6355,18.09,89.5
2020-03-15,3.5088,19.02,86.36
2020-03-16,4.5941,19.04,83.61
2020-03-17,5.5668,19.01,82.07
2020-03-18,4.9584,19.28,81.19
2020-03-19,4.7261,19.53,77.0
2020-03-20,3.323,18.18,84.22
2020-03-21,5.647,16.98,86.75
2020-03-22,6.3055,18.41,73.9
2020-03-23,4.2864,18.8,77.69
2020-03-24,3.2623,18.82,84.67
2020-03-25,4.8713,19.41,82.48
2020-03-26,4.3802,19.0,84.98
2020-03-27,4.9639,19.17,81.4
2020-03-28,4.8662,19.86,78.31
2020-03-29,4.4844,19.83,76.25
2020-03-30,2.9227,20.23,78.76
2020-03-31,3.845,19.93,80.71
2020-04-01,2.8882,19.55,84.81
2020-04-02,4.4489,20.05,80.87
2020-04-03,5.4679,20.15,77.34
2020-04-04,4.5607,20.78,78.15
2020-04-05,4.1009,21.19,78.32
2020-04-06,4.1647,20.28,79.01
2020-04-07,4.4712,20.68,73.7
2020-04-08,5.1413,20.38,76.21
2020-04-09,4.6397,19.45,83.72
2020-04-10,4.8108,20.39,78.21
2020-04-11,3.7738,20.68,78.55
2020-04-12,3.3799,20.74,76.01
2020-04-13,6.2021,20.16,73.87
2020-04-14,5.3904,19.28,83.26
2020-04-15,5.0196,18.32,85.16
2020-04-16,4.4628,18.18,81.31
2020-04-17,3.2609,19.15,80.77
2020-04-18,4.3649,18.6,83.28
2020-04-19,4.9462,18.82,82.9
2020-04-20,5.8138,19.34,79.96
2020-04-21,4.2785,19.01,82.14
2020-04-22,4.4071,18.77,86.34
2020-04-23,4.2785,19.28,81.25
2020-04-24,5.0424,18.83,83.3
2020-04-25,4.9997,18.84,87.42
2020-04-26,5.8918,19.72,74.68
2020-04-27,5.1269,19.93,70.72
2020-04-28,4.5602,19.87,76.08
2020-04-29,4.3927,19.96,79.72
2020-04-30,4.2065,20.07,82.44
2020-05-01,3.6946,19.79,83.94
2020-05-02,4.0433,20.4,77.78
2020-05-03,3.8878,19.72,79.7
2020-05-04,4.2703,19.78,77.53
2020-05-05,4.5785,19.5,76.15
2020-05-06,4.4436,19.09,77.42
2020-05-07,3.7783,19.66,78.61
2020-05-08,3.2218,19.62,78.9
2020-05-09,5.0801,20.04,76.67
2020-05-10,5.093,20.55,78.89
2020-05-11,5.2164,20.21,80.64
2020-05-12,3.774,20.69,78.68
2020-05-13,2.6993,19.19,84.61
2020-05-14,5.2099,19.58,80.49
2020-05-15,4.9769,19.91,77.84
2020-05-16,5.561,20.12,75.27
2020-05-17,4.7326,19.83,76.79
2020-05-18,4.9848,19.88,78.93
2020-05-19,3.1637,19.27,81.08
2020-05-20,5.0551,20.1,76.03
2020-05-21,4.7148,20.28,74.84
2020-05-22,4.211,19.99,76.3
2020-05-23,5.143,20.04,76.59
2020-05-24,4.3694,19.22,76.83
2020-05-25,4.9541,19.34,75.58
2020-05-26,4.2722,19.88,76.53
2020-05-27,4.1239,18.67,81.05
2020-05-28,3.8254,18.91,77.93
2020-05-29,4.3678,19.03,81.79
2020-05-30,3.3842,18.37,84.96
2020-05-31,4.2598,18.48,83.12
2020-06-01,4.7179,18.56,83.22
2020-06-02,4.7966,19.16,80.08
2020-06-03,2.2781,18.63,82.02
2020-06-04,5.6815,19.49,77.26
2020-06-05,4.229,18.86,78.53
2020-06-06,4.3046,18.49,77.47
2020-06-07,5.0803,17.91,77.74
