Fecha,ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,T2M_RANGE,RH2M
2020-01-01,4.8713,18.87,23.47,15.3,8.17,85.65
2020-01-02,6.0058,19.03,24.79,15.38,9.41,84.94
2020-01-03,6.185,19.09,25.37,13.59,11.78,77.95
2020-01-04,6.3425,18.6,24.91,13.17,11.74,79.6
2020-01-05,6.2306,18.42,23.68,14.0,9.68,86.14
2020-01-06,6.0706,18.8,24.22,14.62,9.6,85.41
2020-01-07,6.3948,18.91,25.21,14.37,10.84,77.86
2020-01-08,6.2196,17.81,25.21,11.21,14.0,72.74
2020-01-09,6.5638,18.09,25.36,12.63,12.73,74.42
2020-01-10,6.7574,16.7,24.49,10.2,14.29,72.36
2020-01-11,5.6088,17.68,24.72,10.54,14.18,74.01
2020-01-12,5.2541,18.63,25.21,12.96,12.25,76.33
2020-01-13,6.379,19.32,25.42,14.0,11.42,75.33
2020-01-14,5.179,19.32,25.07,14.49,10.58,75.45
2020-01-15,5.4929,19.32,25.07,15.05,10.02,76.57
2020-01-16,4.2398,19.57,25.77,13.99,11.78,74.93
2020-01-17,4.0466,19.9,25.07,16.19,8.88,75.06
2020-01-18,4.9099,20.24,26.08,15.72,10.36,73.72
2020-01-19,4.7266,20.84,26.58,16.83,9.75,75.52
2020-01-20,3.8227,19.4,23.61,16.33,7.28,83.65
2020-01-21,3.3444,18.68,23.82,15.93,7.89,86.75
2020-01-22,3.3216,17.85,22.03,14.97,7.06,86.16
2020-01-23,5.0083,18.35,23.64,13.55,10.09,83.55
2020-01-24,4.0418,18.07,22.52,15.6,6.92,84.76
2020-01-25,4.813,18.65,23.08,15.13,7.95,85.63
2020-01-26,4.5958,19.47,24.58,15.33,9.25,81.07
2020-01-27,5.1557,18.67,22.83,15.68,7.15,88.55
2020-01-28,5.287,18.51,23.29,15.09,8.2,84.51
2020-01-29,5.8416,18.78,24.78,14.02,10.76,82.71
2020-01-30,5.297,19.49,25.78,14.42,11.36,75.61
2020-01-31,4.9373,19.23,25.01,13.62,11.39,73.25
2020-02-01,4.319,20.38,25.56,16.6,8.96,77.07
2020-02-02,5.0016,20.2,25.78,15.78,10.0,76.48
2020-02-03,5.9592,19.12,26.09,12.8,13.29,73.95
2020-02-04,6.439,17.96,26.15,10.87,15.28,67.71
2020-02-05,7.1525,17.87,26.22,10.99,15.23,62.57
2020-02-06,7.1014,17.66,26.02,9.69,16.33,66.47
2020-02-07,6.2976,18.63,26.41,11.34,15.07,65.5
2020-02-08,5.1761,18.63,24.06,14.57,9.49,80.12
2020-02-09,5.9143,18.86,24.52,14.56,9.96,82.33
2020-02-10,6.8926,18.65,25.52,13.03,12.49,71.53
2020-02-11,7.1244,17.91,26.0,10.8,15.2,69.91
2020-02-12,6.8443,18.94,26.31,11.44,14.87,72.96
2020-02-13,6.1356,20.16,26.66,14.42,12.24,74.58
2020-02-14,4.6222,20.0,24.61,16.26,8.35,78.78
2020-02-15,4.8281,19.48,25.31,14.97,10.34,73.27
2020-02-16,5.8423,19.11,26.01,13.23,12.78,71.58
2020-02-17,5.8764,19.26,26.22,14.39,11.83,72.19
2020-02-18,6.4418,20.57,27.51,14.98,12.53,72.22
2020-02-19,4.4652,21.17,26.83,16.18,10.65,76.35
2020-02-20,4.5084,20.8,26.17,16.96,9.21,74.91
2020-02-21,4.9543,19.55,23.94,16.36,7.58,82.79
2020-02-22,3.5429,19.49,23.31,16.98,6.33,86.02
2020-02-23,3.3998,19.78,24.71,16.41,8.3,84.35
2020-02-24,3.1714,18.99,22.73,16.58,6.15,89.67
2020-02-25,4.7695,19.27,23.31,16.89,6.42,87.87
2020-02-26,4.0334,18.14,21.0,16.12,4.88,89.78
2020-02-27,5.4598,18.59,22.81,15.94,6.87,85.6
2020-02-28,4.921,19.57,24.5,16.13,8.37,81.7
2020-02-29,4.685,20.0,26.2,14.87,11.33,78.11
2020-03-01,4.5922,20.3,25.58,15.9,9.68,79.6
2020-03-02,5.2428,20.09,25.22,15.42,9.8,80.36
2020-03-03,5.267,20.72,26.34,16.39,9.95,79.1
2020-03-04,6.1414,20.28,26.14,14.99,11.15,75.95
2020-03-05,6.5227,18.8,26.82,11.04,15.78,68.05
2020-03-06,5.9395,19.13,26.19,11.91,14.28,66.83
2020-03-07,4.2902,19.99,26.45,13.79,12.66,75.75
2020-03-08,3.8472,19.83,24.96,16.73,8.23,84.17
2020-03-09,3.4349,19.66,24.14,16.25,7.89,82.42
2020-03-10,4.8343,20.06,25.33,15.61,9.72,78.56
2020-03-11,5.2339,19.9,24.94,15.5,9.44,80.13
2020-03-12,3.8057,20.04,24.8,16.22,8.58,81.05
2020-03-13,4.4897,19.44,23.29,17.07,6.22,85.1
2020-03-14,3.6355,18.09,21.24,15.7,5.54,89.5
2020-03-15,3.5088,19.02,23.68,16.04,7.64,86.36
2020-03-16,4.5941,19.04,23.32,15.63,7.69,83.61
2020-03-17,5.5668,19.01,24.07,14.94,9.13,82.07
2020-03-18,4.9584,19.28,24.57,14.6,9.97,81.19
2020-03-19,4.7261,19.53,24.31,15.55,8.76,77.0
2020-03-20,3.323,18.18,22.36,15.64,6.72,84.22
2020-03-21,5.647,16.98,20.58,14.21,6.37,86.75
2020-03-22,6.3055,18.41,24.87,12.47,12.4,73.9
2020-03-23,4.2864,18.8,23.72,13.84,9.88,77.69
2020-03-24,3.2623,18.82,23.75,15.51,8.24,84.67
2020-03-25,4.8713,19.41,24.64,15.47,9.17,82.48
2020-03-26,4.3802,19.0,23.41,15.97,7.44,84.98
2020-03-27,4.9639,19.17,23.81,15.14,8.67,81.4
2020-03-28,4.8662,19.86,25.7,15.44,10.26,78.31
2020-03-29,4.4844,19.83,25.96,14.59,11.37,76.25
2020-03-30,2.9227,20.23,25.88,16.04,9.84,78.76
2020-03-31,3.845,19.93,24.95,15.88,9.07,80.71
2020-04-01,2.8882,19.55,24.55,16.26,8.29,84.81
2020-04-02,4.4489,20.05,24.98,16.55,8.43,80.87
2020-04-03,5.4679,20.15,25.0,15.65,9.35,77.34
2020-04-04,4.5607,20.78,26.14,15.63,10.51,78.15
2020-04-05,4.1009,21.19,26.18,17.71,8.47,78.32
2020-04-06,4.1647,20.28,24.56,16.82,7.74,79.01
2020-04-07,4.4712,20.68,26.05,16.02,10.03,73.7
2020-04-08,5.1413,20.38,26.11,15.59,10.52,76.21
2020-04-09,4.6397,19.45,24.77,15.84,8.93,83.72
2020-04-10,4.8108,20.39,25.57,15.26,10.31,78.21
2020-04-11,3.7738,20.68,25.81,16.17,9.64,78.55
2020-04-12,3.3799,20.74,26.51,16.72,9.79,76.01
2020-04-13,6.2021,20.16,26.58,14.96,11.62,73.87
2020-04-14,5.3904,19.28,23.96,15.58,8.38,83.26
2020-04-15,5.0196,18.32,22.38,15.46,6.92,85.16
2020-04-16,4.4628,18.18,22.94,14.68,8.26,81.31
